id,walletAddress,username,email,avatarUrl,coverUrl,bio,balance,totalWinnings,totalHands,vipRank,isVerified,referralCode,referredBy,referralRank,hostRank,hostEarnings,onChainBalance,walletVerified,lastChainSync,createdAt,updatedAt
GvYPMAk8CddRucjwLHDud1yy51QQtQDhgiB9AWdRtAoD,fa0d7e097ec66fa57b17eed36450a1b1190c031c2f6d8813b88e24689de17828,Player_GvYP,,https://picsum.photos/200/200,,,19613,0,0,0,0,,,0,0,0,0,0,,1765362951649,1765364734651
test-wallet-123,2f78b1cf11c0b598dccdbdfd86572d0db936d181b8049030f30aea10736e926c,Player_test,,https://ui-avatars.com/api/?name=test-wallet-123,,,0,0,0,0,0,,,0,0,0,0,0,,1765369144901,1765369144901
D28UN5yas2MDx5sftr1hxoKzPtyvosBR6mhsjo1ThMfJ,e2053b2791c8b5169a468de9a65126dcfa47452f3bf1d56eecda3d3002459388,Player_D28U,1235929354a48fe3abf11905fe2b76bf5101917e82240387bf0dd6519f2d21eb,https://picsum.photos/200/200,,,10000,0,0,0,0,,,0,0,0,0,0,,1765377916944,1765378764717
